regio,jaar,met_schade,Q1,Q2,Q3,Q4,Q5,gemiddeld
RCAM,2050,False,1753.1242153740984,4695.760043312671,9291.02070871292,18383.19356472799,49239.56046737504,21665.142717632443
RCAM,2050,True,1676.603655134232,4490.798988006279,8885.485206096408,17580.801892629206,47090.34666958131,20719.50016481645
RCAM,2060,False,2137.048636098713,5724.105290432485,11325.702399976784,22409.01037708695,60022.749452724616,26409.688081184
RCAM,2060,True,2014.5067946007791,5395.87579140799,10676.268220095715,21124.04130742292,56580.94746213753,24895.313650865777
RCAM,2070,False,2605.050362661738,6977.652408499669,13805.968028092931,27316.458607273606,73167.39665561468,32193.262404765344
RCAM,2070,True,2415.3182641354747,6469.453160904784,12800.446091280879,25326.935068631443,67838.43875516589,29848.549487882705
RCAM,2080,False,3175.541855889978,8505.719350624076,16829.397988871307,33298.610616284284,89190.64824873737,39243.40723283596
RCAM,2080,True,2889.360535301928,7739.179935689889,15312.724753333918,30297.72421882102,81152.74522044479,35706.77297766564
RCAM,2090,False,3870.967802789679,10368.42442645218,20514.942240305118,40590.82053482874,108722.90253092605,47837.49443840894
RCAM,2090,True,3448.2356731601767,9236.132358422592,18274.5915930534,36158.06756908949,96849.73115159378,42613.362663013024
RCAM,2100,False,4718.688151579984,12639.05151998255,25007.60011744668,49479.98373496484,132532.6115108327,58313.63878695073
RCAM,2100,True,4104.841559841987,10994.85753023045,21754.40143032823,43043.211818857235,115291.65613156691,50727.71081897837
RSAF,2020,False,443.00198112300086,1278.1194180709836,2662.4461939136654,5546.132572012671,16001.32739252285,7088.195
RSAF,2020,True,425.5974964894329,1227.905173621578,2557.845072825663,5328.238333976466,15372.67364245637,6809.716830118
RSAF,2030,False,540.0169430355609,1558.0204387154752,3245.5070539170374,6760.704657834616,19505.528803994614,8640.470152834738
RSAF,2030,True,506.33571503678456,1460.8456328137393,3043.0825476781324,6339.034860341019,18288.955562438416,8101.558089079205
RSAF,2040,False,658.2776402629754,1899.2182210319481,3956.2549887784935,8241.261253132963,23777.130771116448,10532.684902436795
RSAF,2040,True,599.0270901932474,1728.272532745105,3600.158609433774,7499.4781016934085,21636.988084960954,9584.654260030058
RSAF,2050,False,802.4367702878834,2315.1364137903147,4822.652755397405,10046.051481288085,28984.189733476593,12839.284123633479
RSAF,2050,True,704.3782847960703,2032.2246893415709,4233.320308583521,8818.41507440399,25442.296024577365,11270.312208860807
RSAF,2060,False,978.1659453795446,2822.1383699370667,5878.786798401778,12246.080698670241,35331.5655531773,15651.015703436487
RSAF,2060,True,822.6884246933568,2373.5651203123102,4944.365394369413,10299.590663778004,29715.683871630874,13163.318059406665
RSAF,2070,False,1192.3788292465615,3440.1709254063853,7166.208303590613,14927.904038484525,43068.98125900211,19078.500809739402
RSAF,2070,True,953.6052220704389,2751.2774286300782,5731.176613615857,11938.594426957607,34444.426914045456,15258.03507677051
