Model,Scenario,Region,Variable,Unit,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
IMAGE,SSP1-Ref-SPA0-V17,SEAS,GDP|PPP,billion US$2005/yr,1862.56005859375,2978.044921875,4868.39990234375,7532.61376953125,10558.4404296875,13637.41015625,16512.1796875,18882.44921875,20702.5703125,21929.890625
IMAGE,SSP2-Ref-SPA0-V17,SEAS,GDP|PPP,billion US$2005/yr,1862.56005859375,2992.283935546875,4570.083984375,6418.6591796875,8583.9775390625,11043.4501953125,13765.58984375,16638.580078125,19572.0,22545.33984375
IMAGE,SSP3-Ref-SPA0-V17,SEAS,GDP|PPP,billion US$2005/yr,1862.56005859375,2999.77197265625,4301.8291015625,5450.9111328125,6604.0400390625,7836.60986328125,9245.6630859375,10843.5400390625,12573.25,14489.7900390625
IMAGE,SSP4-Ref-SPA0-V17,SEAS,GDP|PPP,billion US$2005/yr,1862.56005859375,2997.35009765625,4408.76318359375,5824.5458984375,7217.740234375,8574.3857421875,9848.2109375,10938.169921875,11857.6201171875,12666.6904296875
IMAGE,SSP5-Ref-SPA0-V17,SEAS,GDP|PPP,billion US$2005/yr,1862.56005859375,3028.169921875,5300.22119140625,8897.18359375,13282.66015625,18127.580078125,23148.51953125,27908.939453125,32321.220703125,36257.96875
IMAGE,SSP1-Ref-SPA0-V17,STAN,GDP|PPP,billion US$2005/yr,314.0869140625,585.4874877929688,1031.52197265625,1549.7359619140625,1967.18701171875,2272.534912109375,2546.470947265625,2712.735107421875,2818.139892578125,2883.471923828125
IMAGE,SSP2-Ref-SPA0-V17,STAN,GDP|PPP,billion US$2005/yr,314.0869140625,589.0911254882812,992.3073120117188,1395.7550048828125,1726.3079833984375,2010.2769775390625,2333.986083984375,2642.133056640625,2954.58203125,3278.948974609375
IMAGE,SSP3-Ref-SPA0-V17,STAN,GDP|PPP,billion US$2005/yr,314.0869140625,594.9649047851562,983.6806030273438,1357.115966796875,1608.5909423828125,1768.7969970703125,1993.60400390625,2244.443115234375,2507.30810546875,2792.743896484375
IMAGE,SSP4-Ref-SPA0-V17,STAN,GDP|PPP,billion US$2005/yr,314.0869140625,574.8754272460938,974.634521484375,1413.9830322265625,1729.3360595703125,1926.843994140625,2118.2060546875,2250.6279296875,2351.674072265625,2432.8291015625
IMAGE,SSP5-Ref-SPA0-V17,STAN,GDP|PPP,billion US$2005/yr,314.0869140625,578.2003784179688,1090.7559814453125,1775.0050048828125,2343.60693359375,2762.6708984375,3176.071044921875,3508.58203125,3819.1240234375,4133.10302734375
IMAGE,SSP1-Ref-SPA0-V17,TUR,GDP|PPP,billion US$2005/yr,879.4927978515625,1342.1090087890625,1951.4639892578125,2688.06298828125,3410.7529296875,4051.632080078125,4584.72900390625,4965.22216796875,5241.796875,5405.89306640625
IMAGE,SSP2-Ref-SPA0-V17,TUR,GDP|PPP,billion US$2005/yr,879.4927978515625,1355.0460205078125,1894.6409912109375,2477.205078125,3109.47705078125,3782.596923828125,4486.125,5185.52490234375,5876.7080078125,6556.52880859375
IMAGE,SSP3-Ref-SPA0-V17,TUR,GDP|PPP,billion US$2005/yr,879.4927978515625,1371.79296875,1823.343017578125,2199.403076171875,2553.841064453125,2903.700927734375,3273.427978515625,3670.092041015625,4068.4541015625,4479.06103515625
